geoid,YYYYMM,Sex,Age_Group,total_drug_OD_n,total_opioid_OD_n,total_heroin_OD_n,total_Fentanyl_OD_n,total_stimulant_OD_n,total_Cocaine_OD_n,total_Methamphetamine_OD_n,total_Benzo_OD_n,total_ED_visits
US,202409,Missing,45 to 54,13,6,2,1,0,0,0,0,1278
US,202402,Female,15 to 24,5072,415,25,102,106,32,23,58,718785
US,202410,Male,11 to 14,479,9,0,2,11,1,0,9,186433
US,202501,Female,25 to 34,3768,959,76,227,170,72,61,90,940202
US,202404,Missing,15 to 24,40,0,0,0,1,1,0,0,5160
US,202401,Total,11 to 14,1862,30,0,5,34,0,0,17,290776
US,202410,Total,35 to 44,10918,3725,406,653,748,297,323,225,1381747
US,202410,Male,Missing,539,196,7,11,13,4,5,4,29994
US,202408,Total,11 to 14,1647,30,0,2,23,0,1,9,279507
US,202407,Male,11 to 14,391,13,0,3,17,0,1,0,119587
US,202407,Female,Total,28651,6406,557,848,1062,465,372,641,5900147
US,202502,Female,11 to 14,1139,6,0,0,17,0,1,2,151990
US,202409,Total,0 to 10,3819,75,0,22,72,9,4,23,1172189
US,202410,Missing,Total,199,72,4,14,6,4,3,2,16729
US,202404,Missing,55 to 64,12,4,0,3,1,1,0,0,3868
US,202406,Missing,11 to 14,3,0,0,0,0,0,0,0,299
US,202411,Female,45 to 54,3212,904,79,106,142,66,52,82,611643
US,202411,Male,25 to 34,6103,1995,160,445,485,208,190,104,548530
US,202403,Male,Missing,347,118,3,15,7,3,2,3,20197
US,202407,Missing,0 to 10,6,0,0,0,0,0,0,0,1080
US,202502,Female,Missing,613,114,6,13,19,11,6,15,103270
US,202404,Male,Missing,381,117,7,14,10,4,5,2,21162
US,202404,Male,11 to 14,521,29,0,4,14,1,3,2,159468
US,202412,Missing,15 to 24,12,0,0,0,1,1,0,0,1734
US,202402,Total,25 to 34,11175,3643,360,781,778,348,283,174,1395294
US,202402,Male,15 to 24,4240,824,39,213,226,97,59,83,456234
US,202405,Female,15 to 24,5162,428,19,117,141,47,27,73,719274
US,202409,Missing,Missing,55,20,2,3,5,1,3,0,2203
US,202411,Female,0 to 10,1668,32,0,4,23,4,5,15,599208
US,202411,Female,25 to 34,4008,1000,110,212,186,80,60,77,873542
US,202410,Male,25 to 34,6610,2193,199,475,506,214,210,117,579964
US,202501,Missing,55 to 64,16,6,0,0,0,0,0,0,2124
US,202407,Female,35 to 44,4968,1521,169,239,265,119,104,99,798184
US,202502,Total,55 to 64,6050,2357,241,209,293,189,79,132,1214036
US,202404,Missing,25 to 34,18,5,0,1,0,0,0,0,5189
US,202411,Missing,55 to 64,11,4,1,0,1,0,1,0,1355
US,202407,Male,15 to 24,4044,718,41,161,240,112,59,87,483970
US,202406,Male,65+,3732,1321,169,78,118,95,19,82,1100349
US,202405,Female,55 to 64,3076,979,93,63,112,66,33,103,635919
US,202402,Male,0 to 10,1860,38,0,6,42,7,4,12,683980
US,202404,Female,11 to 14,1616,19,0,4,18,1,0,9,159470
US,202408,Total,65+,8093,2444,208,125,140,107,26,247,2680922
US,202411,Missing,15 to 24,17,1,0,0,0,0,0,0,1723
US,202405,Total,0 to 10,3591,114,1,28,97,5,3,32,1206375
US,202403,Male,55 to 64,4432,1867,232,188,286,188,79,81,615719
US,202406,Missing,35 to 44,37,19,0,4,1,1,0,1,1530
US,202410,Total,Total,60369,15825,1540,2288,2943,1323,998,1281,10910794
US,202411,Total,45 to 54,7536,2508,255,340,458,231,173,134,1128302
US,202408,Female,55 to 64,3177,1025,83,63,134,85,38,97,671399
US,202405,Male,55 to 64,4547,1842,277,188,299,192,87,65,611743
US,202404,Male,25 to 34,7388,2640,246,585,576,253,214,107,564624
US,202402,Male,45 to 54,4439,1678,217,241,345,192,108,64,510806
US,202402,Missing,35 to 44,26,9,1,0,1,1,0,0,1571
US,202401,Missing,15 to 24,36,3,0,1,0,0,0,0,1756
US,202409,Missing,Total,187,53,7,7,6,1,4,0,15857
US,202501,Male,35 to 44,6034,2172,183,454,455,212,196,102,613672
US,202403,Missing,25 to 34,31,11,1,3,4,2,2,0,1791
US,202403,Male,45 to 54,4775,1802,194,260,356,197,121,74,535663
US,202406,Female,35 to 44,4645,1449,140,226,271,116,109,107,725563
US,202404,Female,Total,28123,6091,459,856,951,429,271,650,5751675
US,202408,Female,45 to 54,3465,950,97,107,172,84,66,101,661697
US,202405,Missing,55 to 64,18,7,0,0,0,0,0,0,1991
US,202411,Female,65+,3677,998,22,36,51,34,9,123,1391588
US,202411,Female,35 to 44,4049,1242,112,218,209,95,77,114,750065
US,202502,Male,Total,28381,8870,714,1517,1705,847,550,467,4662685
US,202412,Total,Missing,642,260,6,22,16,9,5,6,49694
US,202411,Total,25 to 34,10130,3004,270,660,672,288,251,181,1423809
US,202406,Female,Total,27086,6235,498,842,1022,448,333,608,5448682
US,202412,Male,11 to 14,436,13,0,3,16,1,0,7,150671
US,202412,Missing,65+,19,4,0,0,1,0,1,0,4198
US,202410,Missing,35 to 44,24,12,0,2,0,0,0,0,1706
US,202411,Female,55 to 64,2876,937,60,65,90,57,20,107,615166
US,202502,Missing,45 to 54,25,8,3,1,1,1,0,0,2348
US,202403,Total,65+,7563,2406,181,112,160,119,20,222,2544969
US,202406,Female,Missing,267,87,4,8,5,3,1,3,22303
US,202401,Total,25 to 34,11650,3935,429,821,734,312,276,217,1498093
US,202406,Male,55 to 64,4358,1802,280,165,299,202,67,63,606866
US,202409,Total,65+,7559,2280,164,94,142,100,24,203,2593027
US,202412,Female,45 to 54,3039,835,65,91,141,75,48,102,654861
US,202405,Total,65+,7410,2301,204,120,145,103,31,215,2523983
US,202410,Total,65+,7587,2242,160,95,153,98,36,228,2633978
US,202501,Total,45 to 54,6992,2269,218,318,395,217,132,155,1231898
US,202502,Male,15 to 24,3495,545,19,169,187,58,43,65,442056
US,202402,Male,11 to 14,499,7,0,0,14,0,1,7,159796
US,202411,Female,11 to 14,1182,11,0,1,18,0,1,6,154522
US,202406,Female,11 to 14,1076,19,0,6,14,0,3,3,114632
US,202401,Missing,25 to 34,23,11,3,2,1,1,0,1,2038
US,202405,Total,45 to 54,8472,2892,350,363,532,297,173,171,1157233
US,202502,Female,Total,23881,5286,368,699,754,352,230,580,5709150
US,202404,Total,65+,7648,2303,158,119,156,112,25,214,2512871
US,202407,Female,65+,4062,1075,30,41,40,23,12,138,1490855
US,202403,Missing,15 to 24,32,3,1,0,1,0,1,0,1714
US,202409,Female,25 to 34,4388,1114,98,253,253,112,78,100,899373
US,202412,Missing,25 to 34,32,12,1,3,0,0,0,0,1915
US,202403,Total,25 to 34,12371,4089,392,910,874,382,327,193,1457170
US,202409,Female,Total,28005,5930,468,783,994,428,310,672,5902611
US,202410,Total,15 to 24,9442,985,51,255,341,125,80,180,1300126
US,202407,Male,65+,3990,1407,189,85,111,79,26,83,1205716
US,202401,Total,Missing,599,202,6,22,10,6,2,6,45474
US,202402,Total,65+,6964,2167,136,91,120,81,25,182,2410807
US,202401,Female,Total,27170,6101,453,818,1004,468,286,651,5923948
US,202502,Missing,55 to 64,16,3,0,1,1,0,1,1,2293
US,202402,Female,11 to 14,1373,19,0,2,23,1,3,7,163509
US,202402,Total,11 to 14,1876,26,0,2,37,1,4,14,323681
US,202502,Total,45 to 54,6618,2151,189,301,388,209,135,161,1118442
US,202403,Male,25 to 34,7665,2754,249,625,597,262,228,113,573965
US,202402,Male,Missing,330,116,3,15,5,5,0,4,19559
US,202404,Missing,35 to 44,22,5,0,2,2,0,1,0,4547
US,202403,Female,55 to 64,3086,1025,86,70,116,73,30,120,643276
US,202410,Male,65+,3678,1233,122,62,108,71,24,83,1171971
US,202406,Missing,15 to 24,20,2,0,0,2,0,0,0,1685
US,202404,Total,11 to 14,2140,48,0,8,32,2,3,11,320437
US,202402,Total,0 to 10,3559,98,0,20,98,16,9,18,1284946
US,202404,Male,65+,3760,1251,128,77,110,80,17,73,1111100
US,202404,Female,65+,3858,1047,30,41,46,32,8,141,1392334
US,202404,Female,Missing,220,63,2,4,4,0,2,0,23160
US,202411,Male,45 to 54,4307,1593,176,233,315,165,120,52,515430
US,202407,Male,0 to 10,1950,58,2,16,54,9,3,20,531890
US,202403,Total,35 to 44,11941,4257,441,788,872,402,330,258,1351761
US,202408,Female,11 to 14,1216,11,0,1,12,0,1,4,132758
US,202412,Male,25 to 34,6146,1978,165,454,476,211,177,103,588822
US,202406,Missing,Total,193,65,4,10,10,6,2,2,16141
US,202405,Male,45 to 54,4961,1861,256,242,352,199,120,78,532832
US,202412,Total,15 to 24,8250,957,43,258,315,117,63,126,1284979
US,202411,Missing,11 to 14,0,0,0,0,0,0,0,0,425
US,202401,Male,45 to 54,4526,1687,208,228,337,182,112,64,551745
US,202401,Female,55 to 64,3038,987,85,74,131,95,26,99,654383
US,202407,Missing,15 to 24,22,2,0,0,1,1,0,0,1696
US,202502,Total,11 to 14,1578,15,0,2,27,0,5,8,303244
US,202406,Missing,65+,25,4,0,1,0,0,0,0,4588
US,202410,Female,55 to 64,3034,1020,80,73,103,73,22,120,647162
US,202501,Missing,25 to 34,23,8,1,1,2,1,0,0,2830
US,202407,Missing,55 to 64,11,4,0,0,0,0,0,1,1672
US,202502,Missing,11 to 14,3,0,0,0,0,0,0,0,811
US,202401,Female,11 to 14,1422,19,0,3,23,0,0,10,149022
US,202408,Male,15 to 24,4144,700,33,173,218,92,54,101,497063
US,202402,Female,65+,3579,985,26,24,27,15,5,117,1336903
US,202404,Total,Missing,666,203,11,23,16,5,8,2,46483
US,202409,Total,35 to 44,11336,3895,408,732,781,337,325,250,1386487
US,202408,Total,0 to 10,3986,96,0,18,96,14,7,52,1052032
US,202402,Missing,15 to 24,26,4,1,0,1,0,0,1,1742
US,202403,Total,45 to 54,8220,2761,278,377,516,274,172,172,1170429
US,202406,Female,65+,3774,1022,29,30,49,25,5,154,1367945
US,202409,Female,65+,3894,1045,31,28,29,16,5,130,1436279
US,202401,Total,0 to 10,3611,93,1,26,91,7,13,22,1232368
US,202405,Male,Missing,465,162,7,24,14,11,2,5,21137
US,202411,Male,55 to 64,3797,1542,173,161,221,149,54,75,589116
US,202410,Female,25 to 34,4299,1050,114,224,219,97,76,126,899568
US,202502,Missing,65+,41,11,0,4,0,0,0,2,6435
US,202404,Female,0 to 10,1734,47,0,11,27,5,4,12,566872
US,202501,Male,65+,3578,1205,94,64,112,84,16,77,1247003
US,202407,Female,55 to 64,3200,1040,111,98,128,73,37,113,675323
US,202401,Total,45 to 54,7892,2662,268,348,505,262,170,185,1199906
US,202406,Total,35 to 44,12095,4297,429,747,835,347,358,217,1312870
US,202412,Missing,11 to 14,1,0,0,0,0,0,0,0,363
US,202411,Male,Missing,454,176,9,11,12,8,2,4,22287
US,202407,Male,25 to 34,7322,2510,240,549,611,265,246,109,622546
US,202407,Total,Missing,876,309,12,29,15,13,0,5,63694
US,202401,Female,25 to 34,4299,1166,125,245,228,94,74,88,910256
US,202412,Total,65+,7381,2224,140,110,149,104,24,203,2790957
US,202412,Male,35 to 44,6254,2226,217,396,502,225,207,105,607484
US,202406,Missing,55 to 64,10,4,1,0,1,1,0,0,1608
US,202410,Female,65+,3877,1002,38,32,45,27,12,145,1457741
US,202407,Male,Total,35301,11487,1384,1766,2369,1135,831,533,4883226
US,202412,Female,15 to 24,4477,295,16,89,130,49,24,50,792512
US,202412,Total,0 to 10,3555,80,0,18,83,6,7,28,1509468
US,202411,Missing,65+,43,10,1,0,1,1,0,0,4018
US,202502,Female,55 to 64,2584,910,56,71,78,47,21,88,618008
US,202404,Missing,45 to 54,17,6,0,2,0,0,0,0,3847
US,202408,Male,55 to 64,4560,1829,287,149,281,188,74,76,653244
US,202502,Male,65+,3234,1147,74,67,94,73,15,59,1131998
US,202406,Male,Total,34157,11330,1229,1848,2177,1053,753,545,4532625
US,202405,Total,Total,63823,17872,1763,2729,3309,1593,1042,1193,10470187
US,202501,Female,65+,3857,1124,28,42,34,19,9,120,1530966
US,202401,Total,35 to 44,11269,4008,406,678,749,318,321,239,1381785
US,202404,Male,15 to 24,4457,841,43,205,229,88,54,95,473503
US,202410,Male,15 to 24,4085,623,35,163,204,82,50,99,511711
US,202502,Total,Total,52472,14211,1087,2229,2466,1203,781,1053,10397503
US,202411,Total,15 to 24,9016,952,52,218,325,109,83,145,1232285
US,202408,Total,45 to 54,8450,2743,324,331,561,289,209,165,1238129
US,202411,Male,65+,3465,1181,106,66,107,84,16,69,1114323
US,202501,Missing,15 to 24,20,3,0,0,2,2,0,0,2528
US,202411,Total,35 to 44,10420,3587,331,666,722,340,270,221,1320825
US,202409,Female,Missing,284,100,4,5,5,2,1,4,26721
US,202410,Missing,0 to 10,6,1,0,0,1,1,0,0,1255
US,202409,Total,55 to 64,7071,2631,279,223,407,273,103,185,1271571
US,202412,Female,Missing,182,70,2,7,1,0,1,2,25389
US,202409,Female,45 to 54,3301,895,75,93,140,70,52,121,643844
US,202407,Total,11 to 14,1486,16,0,3,33,1,1,6,235424
US,202502,Total,15 to 24,7921,854,36,253,291,88,66,123,1146898
US,202402,Female,Missing,178,43,3,7,1,1,0,2,21569
US,202409,Female,35 to 44,4468,1365,153,222,240,95,107,129,779581
US,202407,Total,25 to 34,12157,3799,381,817,873,377,345,202,1549621
US,202410,Total,11 to 14,1901,22,0,3,35,3,1,22,352126
US,202405,Female,Missing,265,96,3,7,8,5,3,1,22964
US,202403,Female,Total,28092,6364,518,892,1059,493,306,673,5861683
US,202405,Female,65+,3751,1007,33,39,34,17,9,136,1401652
US,202501,Male,Missing,389,124,5,7,11,8,4,4,24074
US,202404,Male,0 to 10,1970,62,2,15,52,3,7,20,662414
US,202403,Female,25 to 34,4675,1324,142,282,273,118,97,80,881414
US,202501,Total,Total,54574,14341,1105,2230,2541,1250,805,1114,11285375
US,202411,Total,0 to 10,3617,68,0,9,75,7,11,30,1305865
US,202401,Missing,65+,29,5,0,0,1,1,0,0,4088
US,202411,Female,15 to 24,5074,337,17,93,132,39,32,66,758657
US,202408,Female,Total,28651,6263,502,753,1055,511,323,684,5934908
US,202408,Missing,35 to 44,30,14,0,0,1,0,1,1,1726
US,202403,Missing,65+,27,4,0,1,0,0,0,2,3742
US,202403,Male,Total,35175,11694,1177,1950,2271,1117,745,591,4798897
US,202408,Total,Total,64321,17390,1742,2438,3350,1637,1117,1303,10868989
US,202402,Missing,11 to 14,4,0,0,0,0,0,0,0,376
US,202405,Female,25 to 34,4614,1224,110,256,263,122,89,92,867212
US,202409,Missing,65+,27,5,0,2,1,0,1,0,4184
US,202501,Male,45 to 54,4010,1433,135,212,265,148,90,63,566267
US,202408,Total,35 to 44,12285,4161,416,755,858,378,364,251,1434643
US,202501,Female,0 to 10,1751,37,0,11,38,8,3,15,631730
US,202407,Total,35 to 44,12553,4394,483,766,909,394,386,207,1443368
US,202403,Total,Total,63482,18128,1698,2857,3344,1617,1057,1267,10676223
US,202402,Total,15 to 24,9338,1243,65,315,333,129,82,142,1176761
US,202404,Total,25 to 34,12047,3916,372,857,820,361,293,209,1436391
US,202412,Total,45 to 54,7215,2373,226,322,435,225,156,167,1207869
US,202410,Female,45 to 54,3272,876,91,97,132,67,43,90,641382
US,202408,Total,25 to 34,12044,3633,368,709,886,419,306,226,1536208
US,202501,Missing,0 to 10,7,0,0,0,0,0,0,0,2512
US,202412,Missing,Total,159,55,2,10,6,4,2,2,15952
US,202408,Missing,15 to 24,27,5,0,1,1,1,0,0,1597
US,202404,Missing,Missing,66,23,2,5,2,1,1,0,2161
US,202409,Female,15 to 24,5336,342,17,95,143,51,29,60,780684
US,202405,Male,15 to 24,4295,739,39,186,213,93,47,100,473065
US,202409,Total,Total,60986,16061,1452,2399,3064,1430,1009,1247,10798994
US,202501,Total,Missing,634,200,7,19,14,10,5,10,52597
US,202412,Total,Total,55700,14839,1265,2228,2731,1296,865,1105,11394870
US,202501,Total,35 to 44,9879,3345,272,648,647,296,275,211,1422711
US,202405,Missing,65+,23,5,0,1,0,0,0,0,5262
US,202411,Male,35 to 44,6350,2336,219,447,510,245,193,107,569160
US,202410,Missing,65+,32,7,0,1,0,0,0,0,4266
US,202409,Female,0 to 10,1734,33,0,13,39,3,4,6,527835
US,202407,Male,55 to 64,4556,1864,338,161,300,186,88,70,663067
US,202502,Total,65+,6857,2185,95,104,131,95,21,193,2532683
US,202406,Male,25 to 34,7213,2552,214,610,572,234,234,98,572558
US,202501,Female,35 to 44,3803,1157,87,194,190,83,78,107,806687
US,202407,Total,55 to 64,7767,2908,449,259,428,259,125,184,1340062
US,202502,Missing,0 to 10,3,0,0,0,0,0,0,1,3069
US,202409,Male,0 to 10,2078,42,0,9,33,6,0,17,643264
US,202408,Missing,Total,209,60,1,6,5,3,1,3,16402
US,202407,Male,45 to 54,4956,1849,252,245,388,207,126,54,584060
US,202406,Male,15 to 24,3980,776,31,180,201,80,52,86,452483
US,202410,Male,45 to 54,4443,1650,197,216,334,170,121,73,544364
US,202501,Female,Total,24948,5448,350,733,792,354,245,583,6215327
US,202408,Female,65+,4171,1098,31,41,46,30,11,153,1481784
US,202408,Total,55 to 64,7752,2861,370,212,415,273,112,173,1326257
US,202502,Total,0 to 10,3127,62,1,18,65,15,7,34,1249199
US,202502,Male,45 to 54,3854,1394,113,214,282,150,95,67,511181
US,202401,Female,Missing,197,53,1,5,4,3,0,2,22598
US,202402,Male,25 to 34,7076,2493,237,536,555,248,214,99,546427
US,202501,Missing,35 to 44,42,16,2,0,2,1,1,2,2352
US,202405,Female,0 to 10,1686,50,0,12,49,2,1,16,551215
US,202412,Missing,55 to 64,7,2,0,0,0,0,0,0,1423
US,202409,Missing,15 to 24,25,1,0,0,0,0,0,0,1795
US,202501,Female,11 to 14,1207,9,0,1,12,2,2,4,155870
US,202407,Total,Total,64157,17954,1944,2623,3439,1608,1203,1177,10799889
US,202407,Missing,11 to 14,2,0,0,0,0,0,0,0,346
US,202502,Male,25 to 34,5634,1910,130,483,426,198,159,89,522702
US,202411,Missing,Missing,60,21,2,2,0,0,0,2,2159
US,202401,Male,15 to 24,4288,839,32,215,195,82,39,94,470792
US,202403,Female,65+,3878,1107,31,40,52,40,7,149,1414187
US,202412,Missing,45 to 54,9,3,0,1,1,1,0,0,1369
US,202406,Total,45 to 54,8113,2736,331,369,503,266,180,183,1141298
US,202402,Female,25 to 34,4071,1141,123,243,222,99,69,75,846995
US,202407,Missing,65+,40,12,0,4,0,0,0,0,4473
US,202501,Missing,11 to 14,2,0,0,0,0,0,0,0,607
US,202406,Total,65+,7531,2347,198,109,167,120,24,236,2472882
US,202401,Total,Total,60743,17225,1575,2566,2972,1413,947,1220,10770470
US,202403,Missing,45 to 54,22,12,0,2,2,1,1,1,1243
US,202408,Missing,Missing,79,22,1,2,1,0,0,1,2370
US,202408,Total,Missing,891,304,10,23,18,8,5,6,67731
US,202401,Male,11 to 14,439,11,0,2,11,0,0,7,141395
US,202411,Missing,45 to 54,17,11,0,1,1,0,1,0,1229
US,202412,Female,35 to 44,4058,1245,123,223,215,97,82,109,798358
US,202408,Missing,0 to 10,1,0,0,0,0,0,0,0,977
US,202501,Female,55 to 64,2843,968,61,61,95,56,28,96,672804
US,202407,Missing,45 to 54,11,5,1,0,0,0,0,1,1385
US,202501,Missing,65+,35,8,0,1,1,0,1,2,5762
US,202401,Male,65+,3542,1253,107,61,109,76,22,83,1166733
US,202401,Female,35 to 44,4317,1342,135,204,239,107,96,126,776785
US,202404,Total,15 to 24,9841,1268,64,316,362,131,82,158,1214849
US,202405,Total,15 to 24,9485,1170,58,303,355,140,74,173,1194570
US,202412,Total,11 to 14,1625,21,0,3,28,1,1,16,303860
US,202412,Female,11 to 14,1188,8,0,0,12,0,1,9,152826
US,202501,Missing,Total,204,62,4,9,9,6,2,8,22760
US,202406,Female,55 to 64,3051,984,88,58,115,73,32,83,621662
US,202401,Total,55 to 64,7141,2679,280,236,365,262,73,165,1291358
US,202412,Female,55 to 64,2825,939,60,58,98,55,30,79,669674
US,202406,Total,15 to 24,8676,1197,47,291,312,116,86,146,1138895
US,202409,Total,Missing,793,309,14,16,23,12,6,6,53199
US,202410,Total,45 to 54,7728,2533,289,315,467,237,165,163,1187058
US,202411,Total,Total,56985,15089,1287,2242,2770,1313,892,1106,10485511
US,202401,Total,15 to 24,9395,1254,50,328,330,135,63,143,1223442
US,202411,Missing,0 to 10,4,0,0,0,0,0,0,0,1364
US,202501,Female,Missing,202,61,2,8,2,1,1,5,26515
US,202502,Female,45 to 54,2739,749,73,86,105,58,40,94,604913
US,202404,Male,55 to 64,4403,1828,267,161,292,206,68,73,606222
US,202403,Missing,0 to 10,0,0,0,0,0,0,0,0,1459
US,202405,Missing,Missing,75,23,2,3,2,0,1,0,2309
US,202404,Total,Total,63418,17538,1631,2729,3213,1535,1022,1183,10496677
US,202409,Male,Missing,454,189,8,8,13,9,2,2,24275
US,202408,Female,35 to 44,4812,1454,146,226,266,126,105,129,797084
US,202406,Female,25 to 34,4602,1289,133,284,262,119,91,78,844437
US,202502,Total,25 to 34,9261,2890,209,711,614,283,229,167,1355368
US,202407,Missing,25 to 34,27,8,1,1,1,1,0,0,1861
US,202502,Female,15 to 24,4400,308,17,84,104,30,23,57,702015
US,202406,Female,15 to 24,4676,419,16,111,109,36,34,60,684727
US,202412,Female,Total,25196,5465,372,747,854,380,263,584,6280571
US,202405,Female,35 to 44,4724,1413,133,231,255,125,77,116,746678
US,202409,Total,11 to 14,1971,35,2,8,37,0,2,18,347363
US,202408,Female,0 to 10,1871,51,0,12,43,10,2,22,479229
US,202402,Missing,Missing,52,20,0,2,1,1,0,1,2332
US,202409,Male,11 to 14,459,17,2,5,14,0,1,12,186575
US,202412,Missing,Missing,51,19,0,4,2,1,1,0,2023
US,202502,Male,35 to 44,5730,2124,169,415,429,194,173,104,555001
US,202401,Missing,45 to 54,8,3,0,1,0,0,0,0,1358
US,202412,Male,65+,3516,1188,115,69,110,82,17,65,1240267
US,202411,Female,Missing,242,79,5,4,5,5,1,3,25001
US,202502,Female,0 to 10,1413,23,1,6,31,7,5,12,579628
US,202407,Female,11 to 14,1093,3,0,0,16,1,0,6,115491
US,202405,Missing,15 to 24,28,3,0,0,1,0,0,0,2231
US,202412,Female,0 to 10,1658,34,0,8,40,1,5,10,699482
US,202403,Total,Missing,605,198,4,31,15,8,3,4,44673
US,202405,Total,25 to 34,12146,3961,354,852,853,370,315,189,1444464
US,202404,Total,55 to 64,7445,2845,332,249,404,277,92,174,1245187
US,202406,Total,0 to 10,3549,107,0,38,100,13,9,37,1000761
US,202502,Missing,Missing,38,17,0,5,2,2,0,0,1833
US,202409,Female,55 to 64,3089,1018,90,71,122,79,33,116,647883
US,202407,Missing,Total,205,61,3,9,8,8,0,3,16516
US,202401,Female,0 to 10,1715,46,1,15,32,2,1,13,576760
US,202406,Total,Total,61436,17630,1731,2700,3209,1507,1088,1155,9997448
US,202406,Missing,45 to 54,12,6,1,1,0,0,0,0,1374
US,202404,Missing,11 to 14,3,0,0,0,0,0,0,0,1499
US,202403,Female,0 to 10,1695,42,0,12,21,2,3,22,612347
US,202405,Missing,Total,217,68,7,9,8,2,2,2,20516
US,202409,Missing,0 to 10,7,0,0,0,0,0,0,0,1090
US,202412,Missing,35 to 44,24,14,1,2,1,1,0,2,1598
US,202501,Total,0 to 10,3670,79,1,23,82,14,6,35,1352462
US,202405,Missing,35 to 44,21,12,2,1,0,0,0,1,2201
US,202410,Male,35 to 44,6596,2392,264,435,527,197,244,99,601707
US,202407,Female,15 to 24,4951,396,14,81,130,39,43,58,744302
US,202403,Missing,11 to 14,1,0,0,0,0,0,0,0,381
US,202410,Missing,45 to 54,13,7,1,2,1,0,1,0,1312
US,202407,Missing,35 to 44,26,11,1,2,2,2,0,1,1695
US,202403,Missing,Total,215,70,3,15,14,7,6,3,15643
US,202407,Total,0 to 10,3715,98,2,27,84,15,3,41,985010
US,202401,Missing,Missing,75,19,2,2,0,0,0,0,2420
US,202406,Female,45 to 54,3379,920,88,104,154,71,56,104,609340
US,202402,Male,55 to 64,3875,1569,198,148,248,162,69,67,584963
US,202411,Missing,Total,192,65,4,7,7,1,3,2,15610
US,202402,Female,0 to 10,1695,60,0,14,56,9,5,6,599541
US,202408,Male,0 to 10,2114,45,0,6,53,4,5,30,571826
US,202403,Total,11 to 14,1848,24,0,5,33,4,0,14,314085
US,202401,Female,65+,3753,1104,28,41,44,34,7,143,1436447
US,202411,Missing,25 to 34,19,9,0,3,1,0,1,0,1737
US,202502,Male,Missing,837,258,24,18,29,24,2,13,89067
US,202501,Total,15 to 24,8249,811,31,224,304,122,61,137,1277330
US,202408,Male,35 to 44,7443,2693,270,529,591,252,258,121,635833
